Symbol,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,Net Income,Beta,Revenue Growth,Debt to Equity,Profit Margin,Operating Income,Predicted 5 Year Return Rate,Return on Assets,Predicted Stock Insight,Analyst Recommendation,Quick Ratio
ALK,Industrials,64.04,9.66,1.9928383,8.28,101.43,59.25,7903173734.0,1665000000.0,0.9801092,2.21,1021834455.3016863,1.633,0.052288461538461534,0.9905660377358491,0.10593349111566311,650000000.0,0.006139250698734702,0.07203118957434698,Volatile,buy,0.653460939238816
ALL,Financials,90.06,13.26,1.5278208,4.68,105.36,77.73,34759468905.0,0.0,1.2085556,1.67,1806288190.9327114,0.513,0.087,0.4469330332020259,0.03163709305588523,2389545891.9333334,0.0047804426369053386,0.017475360296169883,Undervalued,buy,0.9258407654744877
ALLE,Industrials,77.32,21.07,0.8004002,2.37,89.81,66.72,7599609494.0,531800000.0,4.265232,20.48,232941987.85281947,1.134,0.042,1.5284836531897141,0.0638057378801412,715900000.0,-0.0012184868213972033,0.05402806166132888,Low Growth,hold,0.8543113827915162
ALXN,Health Care,108.47,22.18,0.0,1.77,149.34,96.18,26172439795.0,1072000000.0,9.720562,2.82,427078624.84696233,0.7986122448979591,0.03893478260869565,0.8889550894999193,0.009658442572279444,4221927723.4042554,-0.0002379594559839591,0.008326776161811248,Low Growth,buy,0.9480929782518385
AMAT,Information Technology,45.75,14.08,0.8215239,3.17,60.89,34.58,51296481503.0,4336000000.0,4.7020154,5.44,3554313581.737923,1.583,-0.005,0.36693375741635575,0.13403905350295747,7654000000.0,0.009583649178955572,0.11566642525750669,High Growth,buy,1.8206728160607706
AMD,Information Technology,11.22,187.0,0.0,0.03,15.65,9.7,11191663795.0,339000000.0,2.1091955,21.47,29924234.7459893,1.635,0.102,0.05372861948042654,0.001319410703085948,401000000.0,0.006239886311519556,0.00044080775938704135,High Growth,buy,1.856331290177904
AME,Industrials,72.05,27.61,0.75512403,2.94,78.51,51.31,17139651923.0,1025763000.0,4.015368,4.54,699383437.2466342,1.216,0.065,0.38652098218698766,0.10601617978711893,1707459000.0,0.00579875238551548,0.04655252777403519,Volatile,buy,0.5870439360945933
AMG,Financials,179.11,12.24,0.6387395,12.07,216.995,148.81,10442174371.0,1261400000.0,4.591235,2.89,703685135.7153146,1.315,0.039403846153846143,0.7072382173416204,0.34195992599636243,730800000.0,-0.0002379594559839591,0.07767287029397707,Low Growth,buy,-2.780443590855113
AMGN,Health Care,173.12,13.76,2.9751508,2.57,201.23,152.16,128133340000.0,11945000000.0,5.58192,3.91,1902164301.0628467,0.595,0.198,10.367939666238767,0.06747656264855788,7897000000.0,0.004527158549847699,0.019578857289075557,Dividend Paying,buy,1.1316876903001305
AMP,Financials,152.5,12.41,2.0735743,9.44,183.9,118.84,23472126000.0,0.0,1.9493247,3.73,1452963078.2950819,1.347,0.121,1.216959187989004,0.09352836036659684,2389545891.9333334,0.006201424436227239,0.008293594295911786,High Growth,buy,0.9258407654744877
AMT,Real Estate,133.57,20.68,2.0,1.97,155.28,103.36,59213892640.0,3792383000.0,11.954137,9.22,873335093.9642136,0.674,0.055,11.232147110666476,0.07836678217944883,3776500000.0,0.005828927916930409,0.0132268186934587,Dividend Paying,buy,0.4705650200709034
AMZN,Consumer Discretionary,1350.5,296.16,0.0,6.16,1498.0,812.5,685873374731.0,16132000000.0,3.927053,24.28,3128456118.7285895,1.16,0.139,0.6717572755417957,0.005442828394492879,36852000000.0,0.005454289372618626,0.005926745120295744,High Growth,buy,0.8430483212767634
ANDV,Energy,96.9,18.78,2.3454583,6.13,121.71,75.11,15696449735.0,2548000000.0,0.6618165,1.7,992974580.7590299,1.5413749999999997,-0.11763157894736842,0.4245465742304194,0.01870137958796606,7503534208.333333,-0.0002379594559839591,0.01579323880846556,Volatile,hold,0.9966137145235536
ANSS,Information Technology,148.84,42.53,0.0,2.99,164.9,94.52,13155919129.0,458515000.0,16.8134,5.79,264285126.2813088,1.15,0.16,0.1585043236412235,0.1164277815410429,626135000.0,0.003972316792374045,0.03609035061793473,Volatile,hold,-1.217955795552427
ANTM,Health Care,230.57,19.23,1.2581781,14.36,267.95,156.81,61221978627.0,0.0,0.6696521,2.28,3812931487.5470357,0.7986122448979591,0.03893478260869565,0.8889550894999193,0.08622997654753972,4221927723.4042554,-0.0002379594559839591,0.07434094138638551,Low Growth,hold,0.9480929782518385
AON,Financials,136.05,20.8,1.0245464,4.66,152.78,113.2201,35123123422.0,1858000000.0,3.4972682,6.78,1203041199.1658947,0.853,0.078,-14.566585956416464,0.08994028103812012,3822000000.0,0.004981531354816345,0.035426284612794685,Overvalued,hold,0.845849669906589
AOS,Industrials,60.24,27.76,1.1479592,1.7,68.39,48.925,10783419933.0,601000000.0,3.5754826,6.35,304312979.51693225,1.253,0.056,0.08414660594231187,0.07898488878657918,757400000.0,0.006776994273391533,0.09468651156443332,Volatile,hold,1.0609330371310695
APA,Energy,37.73,-251.53,2.528445,-3.72,57.9,38.14,15066280977.0,3265000000.0,3.651366,2.22,-1485464225.6676388,3.306,-0.154,1.9977401129943504,-0.17942556174267893,3376000000.0,-0.006132056486915418,-0.09744582955048799,Low Growth,hold,0.8356905158069884
APC,Energy,56.2,-21.29,1.7029973,-5.9,70.0,39.96,32129091747.0,3115000000.0,3.9682212,2.88,-3372982941.4110317,1.5413749999999997,-0.11763157894736842,0.4245465742304194,-0.06352572921136013,7503534208.333333,-0.0002379594559839591,-0.05364721929726054,Volatile,buy,0.9966137145235536
APD,Materials,152.8,24.22,2.7811136,13.66,175.17,133.6301,34638387128.0,2542500000.0,4.1163683,3.35,3096599268.1183243,0.812,-0.056,0.7707452717478638,0.2457618466760575,2739200000.0,0.004820237908107024,0.096761167662474,Dividend Paying,buy,1.1675907387442888
APH,Information Technology,84.44,25.9,0.8608971,2.05,93.62,67.26,26955335395.0,1671700000.0,3.85675,6.64,654410676.927404,1.31,0.027,0.5196549451866052,0.05212475622096936,2594200000.0,0.005809899553143861,0.03959789651269508,Low Growth,buy,1.4806990833254037
APTV,Consumer Discretionary,89.27,69.74,0.9392678,5.05,96.91,82.97,24906530300.0,2370000000.0,1.5025798,7.56,1408961330.9622493,1.904,0.06,0.5877208174575684,0.07026888090181284,1770000000.0,0.00512477475382969,0.05768049007091535,High Growth,buy,1.223377703826955
ARE,Real Estate,114.58,19.03,3.0262272,1.57,134.37,106.89,12043374429.0,0.0,10.492155,2.07,165020927.33051145,1.068,0.13,0.6333395141348614,0.05718577278174593,733692000.0,0.003828090321811763,0.0044877518493994725,Low Growth,buy,0.24137951713002548
ARNC,Industrials,24.45,20.21,0.9561753,-0.21,31.17,21.755,12123300000.0,1517000000.0,0.94214815,3.4,-104126503.06748466,1.171875,0.052288461538461534,1.52137196108356,-0.004312349768967137,2770624732.142857,-0.0002379594559839591,-0.003067642610891807,Volatile,buy,0.8334267422865484
ATVI,Information Technology,65.83,31.8,0.43190324,1.28,74.945,38.93,52518668144.0,2704000000.0,10.59512,5.16,1021174164.1245633,1.1849285714285713,0.09067924528301889,0.4748850457386026,0.025755723529452133,10675799947.368422,0.005495866896510265,0.015987827447626727,Volatile,buy,1.30790078037718
AVB,Real Estate,154.94,17.97,3.7149355,6.36,199.52,156.01,21856547430.0,1331579000.0,10.251216,2.12,897170786.4644378,0.933,0.107,0.6903918879364345,0.3241330500621364,886278000.0,0.004488739952476143,0.04338724739305038,Low Growth,buy,0.3343541322920896
AVGO,Information Technology,229.57,15.94,2.9488583,4.01,285.68,202.61,92791974933.0,7016000000.0,6.961893,4.4,1620838173.460513,1.268,0.164,1.6353593463398366,0.045250793530263636,16451000000.0,0.008060260982493378,0.022245620749928124,Dividend Paying,buy,2.5589466576637405
AVY,Materials,110.77,22.11,1.5682175,3.11,123.67,78.471,10104814319.0,831200000.0,1.5206499,8.83,283704726.2985465,0.921,0.042,1.5246487146952394,0.0339185259135309,963800000.0,0.008828714191223271,0.03455683771815957,Overvalued,buy,0.6946842007779218
AWK,Utilities,76.06,26.23,2.129297,2.63,92.37,71.89,13906146184.0,1711000000.0,5.553833,2.55,480846232.76255584,0.624,0.108,1.2699806063080534,0.11356783957547374,1504000000.0,0.0049804457212976406,0.01587056019415657,Overvalued,buy,0.5936773593677359
AXP,Financials,88.34,15.0,1.4955667,2.9,102.385,75.51,80410990000.0,0.0,2.273575,3.75,2639708750.282997,1.227,0.092,1.7521117724631998,0.04373057585413245,2389545891.9333334,0.006719768034023064,0.010109643328749012,Volatile,buy,0.9258407654744877
AYI,Industrials,145.41,18.22,0.35118526,7.43,225.36,142.0,6242377704.0,587800000.0,1.7953473,3.55,318966139.47266346,1.467,0.052288461538461534,0.2931428004366379,0.08070597122429621,500300000.0,-0.0002379594559839591,0.09357962137968709,Volatile,hold,1.7243869667450453
AZO,Consumer Discretionary,718.57,16.31,0.0,44.09,797.89,491.13,19922021415.0,2347304000.0,1.8510429,136.23,1222374889.27641,0.705,0.051,-2.5126513427683523,0.07002120953449145,3473986000.0,0.008744077401321207,0.07646592131357502,Stable,buy,0.11927868610559202
BA,Industrials,329.66,27.29,1.9648397,13.47,361.45,163.69,205617405233.0,12476000000.0,2.1560605,182.86,8401584810.072529,1.527,0.102,-3.05245749434225,0.10799785086346671,-821000000.0,0.003735850679479836,0.06132006546924743,High Growth,buy,0.30820123764700974
BAC,Financials,29.74,16.34,1.536,1.55,32.67,22.07,321478200969.0,0.0,3.2011874,1.24,16754916324.880634,1.388,-0.11,1.146259506387881,0.16996090854100318,2389545891.9333334,0.005927827769232583,0.005268591436343946,Low Growth,buy,0.9258407654744877
BAX,Health Care,62.56,25.12,0.97635394,1.29,72.58,48.15,35713732553.0,1832000000.0,3.4394414,3.77,736424472.4004155,0.634,0.037,1.7095929540585575,0.04971474194291606,412000000.0,0.0011978479481317196,0.026044153076828957,Low Growth,hold,1.0419806243272336
BBT,Financials,51.07,16.26,2.4526198,2.74,55.99,41.17,42087562920.0,0.0,3.4552107,1.55,2258075629.5437636,1.097896551724138,0.039403846153846143,1.2440849965312557,0.09018752712999896,2389545891.9333334,-0.0002379594559839591,0.005545024917765066,Low Growth,hold,0.9258407654744877
BBY,Consumer Discretionary,68.79,19.22,1.9085041,3.81,78.59,41.67,20831186176.0,2555000000.0,0.76715523,4.79,1153755187.2446575,1.506,-0.078,1.3042908614477564,0.026552406960431225,1727000000.0,0.005616450856818843,0.07708660300959828,Low Growth,hold,0.3716019724364648
BDX,Health Care,211.44,22.28,1.3518385,4.65,248.3888,175.66,50910180308.0,1537000000.0,5.6912947,3.98,1119619459.100454,0.458,0.026,0.6155366903128271,0.057795759813155795,2424000000.0,0.0036753003040284004,0.021212949206147292,Low Growth,buy,0.8135822918235206
BEN,Financials,38.0,12.67,2.332657,3.0,47.65,37.01,21759187973.0,2711300000.0,3.399101,1.83,1717830629.4473684,1.417,0.012,0.9861960744824577,0.21884865460383832,1102300000.0,-0.0011313179794276856,0.05703061728773649,Low Growth,hold,1.6941510214955222
BF.B,Consumer Staples,63.33,37.04,1.1216964,1.7,69.9028,45.415,5498033502.0,1139000000.0,1.8411398,12.36,147586561.7148271,0.61503125,0.017258064516129035,1.1598056532134362,0.0020580812304230433,5078402375.0,-0.0002379594559839591,0.002782916099822628,Overvalued,hold,0.5117312538341796
BHF,Financials,55.44,22.63,0.0,-24.62,75.0,52.751,7066613254.0,0.0,1.4188358,0.51,-3138167718.497114,1.144,0.039403846153846143,0.638478656686223,-0.7944728401258517,2389545891.9333334,-0.0002379594559839591,-0.013278191243535221,Low Growth,hold,0.9258407654744877
BHGE,Energy,27.5,305.56,2.4991322,-0.31,57.73,28.03,32995712852.0,285000000.0,1.9390045,2.25,-371951672.1498182,1.5413749999999997,-0.11763157894736842,0.4245465742304194,-0.007005224045045825,7503534208.333333,-0.0002379594559839591,-0.005915883142728422,Volatile,buy,0.9966137145235536
BIIB,Health Care,311.79,14.3,0.0,11.94,370.57,244.28,69157726427.0,6511400000.0,5.737439,5.51,2648395566.0488787,-0.009,-0.062,0.4958444261253835,0.2692662944862417,1831100000.0,0.005156994959803084,0.09865581289668311,Stable,buy,1.2613633054770987
BK,Financials,53.29,14.76,1.7347307,3.73,58.99,44.91,56083904906.0,0.0,3.3834257,1.49,3925557614.925502,1.113,0.084,0.7764348974898468,0.22700269559506747,2389545891.9333334,0.0027279977984506387,0.009575628462105417,Volatile,buy,0.9258407654744877
BLK,Financials,509.38,22.49,2.1643558,30.3,594.52,368.0,85907759858.0,5684000000.0,6.9158196,2.95,5110143946.950018,1.37,0.068,0.2465753424657534,0.2861383026457259,6333000000.0,0.004806076791527473,0.04147473802623157,Dividend Paying,buy,12.727815486409325
BLL,Materials,38.44,20.56,1.0170354,0.85,43.24,35.6,13767688518.0,1317000000.0,1.5696399,3.62,304436400.632154,1.1365454545454545,-0.04605,0.6973882778122114,0.02156980766123234,1877859454.5454545,-0.0002379594559839591,0.013467372604232227,Volatile,hold,1.0511116493740027
BMY,Health Care,62.69,20.83,2.5546863,2.65,66.1,51.12,102506501960.0,5170000000.0,6.503231,6.75,4333103049.832509,0.39,0.006,1.4089024804621135,0.09627834177293047,8195000000.0,0.004659990588936965,0.0455353991722539,Dividend Paying,hold,1.3075195400233581
BRK.B,Financials,191.42,30.43,0.0,9.76,217.62,160.93,261401203633.0,0.0,1.4328232,1.58,13328156657.914951,1.097896551724138,0.039403846153846143,1.2440849965312557,0.5323264971516688,2389545891.9333334,-0.0002379594559839591,0.032729178690506046,Low Growth,buy,0.9258407654744877
BSX,Health Care,25.2,20.0,0.0,0.07,29.93,23.29,36142506007.0,1726000000.0,4.055685,4.78,100395850.01944447,0.793,0.149,0.4922981173175665,0.007050270366534022,2417000000.0,0.004056036948679253,0.002857350011937741,Undervalued,buy,0.8169470910196635
BWA,Consumer Discretionary,51.94,14.15,1.2363636,0.55,58.22,37.54,11596117445.0,867900000.0,1.5831376,2.89,122792926.35252215,1.285,0.062,0.674159231297186,0.008648607293458385,1248000000.0,0.0010309134776654415,0.008496016491560378,Volatile,buy,1.3018316963100611
BXP,Real Estate,112.09,18.05,2.7744062,2.93,140.13,111.87,17799878487.0,1546846000.0,6.839459,3.15,465283646.77411014,1.165,0.085,2.828910355596009,0.1421334472479762,1038655000.0,0.00341746001544525,0.017877544878964233,Low Growth,hold,3.794145355868599
C,Financials,71.87,13.48,1.7068943,-3.1,80.7,56.14,192709302000.0,0.0,2.1857586,0.9,-8312214222.902462,1.496,-0.091,1.5773729271414874,-0.1059069671393938,2389545891.9333334,0.0010470785754844612,-0.003446428826736194,Low Growth,buy,0.9258407654744877
CA,Information Technology,32.66,14.32,3.0,1.85,36.56,30.45,14175422936.0,1613000000.0,3.3742425,2.44,802955677.6362524,1.1849285714285713,0.09067924528301889,0.4748850457386026,0.02025188764673894,10675799947.368422,-0.0002379594559839591,0.012571329429535654,Volatile,hold,1.30790078037718
CAG,Consumer Staples,35.49,18.2,2.3683476,1.46,41.68,32.16,14379717835.0,1281200000.0,1.8294994,3.86,591557848.382643,0.389,-0.032,1.0788045966486586,0.0481842346161638,1099500000.0,0.0037553296049147606,0.02682485731308975,Stable,hold,0.2596437498592564
CAH,Health Care,66.63,12.29,2.8394227,4.04,84.88,54.66,20493281175.0,1913000000.0,0.21131156,3.03,1242576256.1458802,0.697,0.116,-1.6483169705469847,0.006060992801133008,1770000000.0,0.003118128298364726,0.02861957887799434,Stable,buy,0.5308550406455824
CAT,Industrials,145.99,21.22,2.0215108,1.26,173.24,90.34,91822049046.0,8136000000.0,2.0468428,5.75,792491141.8450578,1.164,0.029,1.943059402893198,0.011817643033776587,12966000000.0,0.0054333749143399696,0.009059526519788946,Dividend Paying,hold,0.874913614374568
CB,Financials,140.39,17.5,1.9251627,8.2,157.5,130.17,68424670566.0,0.0,2.0985637,1.35,3996597326.31384,0.627,0.116,0.24358478834422842,0.08021108108846466,2389545891.9333334,0.004675426441953488,0.017325137315932063,High Growth,buy,0.9258407654744877
CBG,Real Estate,41.92,15.82,0.0,1.69,46.6,30.43,14440591731.0,1652961000.0,1.4622321,3.74,582170802.1323949,1.1220357142857142,0.08645833333333332,1.321750621139707,0.15608095421704302,1053295689.6551725,-0.0002379594559839591,0.023773712603978144,Low Growth,buy,0.7057215135301967
CBOE,Financials,111.15,35.06,0.9426963,2.27,138.54,76.75,12998295607.0,488406000.0,8.249042,5.15,265462267.4573999,0.59,-0.036,0.4042158092848181,0.07034908373059491,1065300000.0,0.0029805130338605877,0.035454059092808,Overvalued,buy,-1.0201017759523192
CBS,Consumer Discretionary,51.8,12.05,1.3473054,2.81,70.095,52.75,20431395736.0,2841000000.0,2.1055017,6.91,1108344054.4046333,1.4012222222222221,0.05999999999999999,1.6920756330799667,0.031351142481815565,3458162736.111111,-0.0002379594559839591,0.026875754664525374,Low Growth,hold,0.7674569514781113
CCI,Real Estate,103.81,21.45,3.862069,1.02,114.97,86.93,44183023189.0,2292600000.0,10.125291,3.54,434126612.58818996,0.749,-0.051,4.51559316721517,0.06218688047388483,2488000000.0,0.006381704752556814,0.01126811359794923,Dividend Paying,hold,0.2836622823984526
CCL,Consumer Discretionary,66.76,17.48,2.6041667,3.58,72.7,54.75,49180044050.0,4711000000.0,2.8147783,2.0,2637276178.8346314,2.551,0.406,4.633299433386605,0.12213570040451217,1956000000.0,-2.0854187098856247,0.05369047595347377,Dividend Paying,buy,0.41268182214092847
CDNS,Information Technology,36.82,34.09,0.0,0.74,46.0,29.01,10890625200.0,455607000.0,5.751737,10.98,218877312.54752854,1.032,0.188,0.22454557818693047,0.05351541852405572,1262238000.0,0.008839578509064942,0.03860616632913405,Stable,buy,1.128036473193548
CELG,Health Care,91.02,13.27,0.0,3.58,147.17,92.85,74921079154.0,5233000000.0,5.830071,7.49,2946797004.738739,0.7986122448979591,0.03893478260869565,0.8889550894999193,0.0666422246082509,4221927723.4042554,-0.0002379594559839591,0.057453868269684356,Low Growth,hold,0.9480929782518385
CERN,Health Care,61.22,27.09,0.0,1.84,73.86,51.2617,21101697598.0,1523440000.0,5.5560412,4.62,634222861.4884025,0.7986122448979591,0.03893478260869565,0.8889550894999193,0.01434303832908402,4221927723.4042554,-0.0002379594559839591,0.012365479087626384,Low Growth,hold,0.9480929782518385
CF,Materials,37.46,-59.46,3.0395136,-1.2,43.98,25.04,9209106695.0,711000000.0,3.0044448,2.81,-295006087.39989316,1.016,-0.398,0.5653314675529124,-0.04448892887948924,2252000000.0,0.005227836843656287,-0.02052073507233536,Undervalued,hold,3.43875
CFG,Financials,42.19,16.04,1.9625335,3.27,48.23,31.51,22008050974.0,0.0,3.3917346,1.08,1705767401.8720076,1.354,-0.108,0.5739873469723112,0.20741335139494255,2389545891.9333334,0.004772410735039957,0.007684883142635777,Low Growth,buy,0.9258407654744877
CHD,Consumer Staples,47.38,24.42,1.8366054,2.92,54.1799,43.21,11838963451.0,868000000.0,3.1682448,6.28,729627971.2308991,0.524,0.064,0.6240597603361518,0.12434226405202868,1057400000.0,0.005154569660210964,0.08514540111456134,Overvalued,hold,0.6444444444444445
CHK,Energy,2.82,4.7,0.0,-6.44,6.59,2.8,2626102121.0,1470000000.0,0.40765184,1.84,-5997197751.503547,0.508,-0.11763157894736842,0.1968496598005406,-0.77134376225126,2368000000.0,-0.0002379594559839591,-0.4171673449849434,Stable,buy,-0.6704547002971663
CHRW,Industrials,90.47,26.0,1.987685,3.57,100.18,63.41,12932483889.0,868096000.0,0.85282737,9.31,510323504.8494528,0.743,-0.167,1.3762635714320959,0.029001514956713284,514607000.0,0.0034575617782210835,0.09766433661917692,Low Growth,hold,-0.5482216159447653
CHTR,Consumer Discretionary,348.65,162.92,0.0,34.08,408.83,308.3,86708878113.0,14694000000.0,2.1208634,2.27,8475659159.876781,0.951,0.003,8.819862890131697,0.1552119537765631,12506000000.0,0.004064896102758576,0.05758194452098117,Low Growth,hold,-0.028734144420690177
